"* Required Fields","* Campuri obligatorii"
"A new password has been sent.","O parola noua a fost trimisa la adresa de email folosita la inregistrare."
"Account Dashboard","Panou control"
"Account Information","Informatii cont"
"Account Sharing Options","Optiuni partajare cont"
"The account information has been saved.","Informatiile contului au fost salvate."
"Action","Actiune"
"Add New Address","Adauga adresa"
"Add New Customer","Adauga client"
"Add New Customer Group","Adauga grup de clienti"
"Added From","Adaugat din"
"Additional Address Entries","Adrese suplimentare"
"Address","Adresa"
"Address Book","Agenda"
"Address Information","Informatii adresa"
"Addresses","Adrese"
"Admin","Admin"
"All","Toate"
"All Store Views","Toate vitrinele magazinului"
"All countries","Toate tarile"
"Always optional","Mereu optional"
"Amount","Suma"
"Approved","Aprobat"
"Are you sure that you want to remove this item?","Esti sigur ca vrei sa stergi acest articol?"
"Are you sure you want to cancel adding of this address?","Esti sigur ca vrei sa anulezi adaugarea acestei adrese?"
"Are you sure you want to delete this address?","Esti sigur ca vrei sa stergi aceasta adresa?"
"Are you sure?","Esti sigur?"
"Array of Entity collections is expected","Este de asteptat urmarirea entitatii colectiilor"
"Assign a customer group","Aloca un grup de clienti"
"Average Sale","Vanzari medii"
"Back","Inapoi"
"Back to Login","Inapoi la Login"
"Bad request.","Cerere gresita."
"Bill to Name","De la factura la Nume"
"Billing Information","Informatii facturare"
"Bought From","Cumparat de la"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","In urma inregistrarii pe <b>Createur.ro</b>, vei putea cumpara mai repede, iti vei putea adauga adrese multiple in agenda, vei putea urmari starea comenzilor, vei putea vedea comenzile mai vechi si multe altele."
"CSV","CSV"
"Can't save address","Eroare. Adresa nu poate fi salvata."
"Can't save customer","Eroare. Clientul nu poate fi salvat"
"Can't share customer accounts global. Because some customer accounts with same emails exist on multiple websites and cannot be merged.","Nu putem imparti conturile globale ale clientului. Deoarece conturile anumitor clienti cu aceleasi emailuri exista pe mai multe sit-uri si nu pot fi unite."
"Cancel","Anuleaza"
"Change Account Password","Schimba parola contului tau"
"Change Billing Address","Modifica adresa de facturare"
"Change Password","Schimba parola"
"Change Shipping Address","Modifica adresa de livrare"
"City","Oras"
"Company","Firma"
"Config","Configuratie"
"Confirm New Password","Confirma noua parola"
"Confirm Password","Confirma parola"
"Confirmation Link Email","Confirmare link email "
"Confirmed","Confirmat"
"Contact Information","Informatii de contact"
"Continue Shopping","Continua cumparaturile"
"Country","Tara"
"Create","Creeaza"
"Create New Account Options","Optiuni creare cont nou"
"Create New Customer Account","Creaza un cont nou"
"Create Order","Creaza comanda"
"Create an Account","Creaza un cont"
"Create customer","Creeaza client"
"Create customer address","Creeaza adresa client"
"Current Password","Parola actuala"
"Customer","Client"
"Customer Addresses","Adrese client"
"Customer Api","Customer Api"
"Customer Configuration","Configuratie client"
"Customer Group","Grup clienti"
"Customer Group was successfully deleted","Grup clienti sters."
"Customer Group was successfully saved","Grup clienti salvat."
"Customer Groups","Grupuri clienti"
"Customer Information","Informatii clienti"
"Customer Login","Autentificare client"
"Customer Since","Client din"
"Customer View","Vizualizare client"
"Customer collection expected","Lipseste colectia de date clienti"
"Customer doesn't have primary billing address","Clientul nu are adresa principala de facturare"
"Customer email already exists","Exista deja adresa de email a clientului"
"Customer website id must be specified, when using website scope.","Id sit client trebuie verificat, cand folosim ocazie sit."
"Customers","Clienti"
"Customers Only","Doar clientii"
"Customers Section","Sectiune clienti"
"DD","DD"
"Date","Data"
"Date Added","Adaugat la data"
"Date of Birth","Data Nasterii"
"Date of Birth is required.","Data nasterii este ceruta."
"Day","Day"
"Days in Wishlist","Zile in lista de produse preferate"
"Default Addresses","Date facturare"
"Default Billing Address","Adresa standard de facturare"
"Default Email Domain","Domeniu de mail standard"
"Default Group","Grup standard"
"Default Shipping Address","Adresa implicita de livrare"
"Default Welcome Email","email de primire standard"
"Delete","Sterge"
"Delete Address","Sterge adresa"
"Delete Customer","Sterge client"
"Delete Customer Group","Sterge grup clienti"
"Delete customer","sterge client"
"Delete customer address","Delete customer address"
"Deleted Stores","Sterge magazine"
"Details","Detalii"
"Disabled","Dezactiveaza"
"Edit","Modifica"
"Edit Account Info","Editeazainformatii cont"
"Edit Account Information","Modifica informatiile contului"
"Edit Address","Modifica"
"Edit Address Entry","Modifica intrarea in adresa"
"Edit Customer Group ""%s""","Modifica grup clienti ""%s"""
"Edit Customer Groups","Modifica grupurile de clienti"
"Edit Customer's Address","Modifica adresa clientului"
"Edit Group","Modifica grup"
"Edit Newsletter Subscription","Modifica abonarile la newsletter"
"Edit Newsletters","Modifica newsletter-e"
"Edit Personal Information","Modifica informatiile personale"
"Email","E-mail"
"Email Address","Adresa de e-mail"
"Email Sender","Expeditor e-mail"
"Entity collection is expected","Lipseste colectia de date entitate"
"Error during retrieval of option value: %s","Eroare la gasirea valorii optiunii: %s"
"Ext. Price","Pret ext."
"Failed to confirm customer account.","Confirmare esuata a contului clientului."
"Fax","Fax"
"First Name","Prenume"
"First name can't be empty","Prenumele nu poate fi necompletat"
"Forgot Email Sender","Expeditor recuperare email"
"Forgot Email Template","Template recuperare email"
"Forgot Your Password?","Ai uitat parola?"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Aici poti vedea si actualiza detaliile contului tau. Alege din link-urile de mai jos."
"General Subscription","Abonare la newsletter-ul standard"
"Global","Global"
"Go to Address Book","Mergi la Agenda"
"Grand Total","Total final"
"Grand Total: %s","Total final: %s"
"Group","Grup"
"Group ""%s"" can not be deleted","Grupul ""%s"" nu poate fi sters"
"Group Information","Informatii grup"
"Group Name","Nume grup"
"Guest","Vizitator"
"HTML","HTML"
"Hello, %s!","Stimate client, %s!"
"ID","ID"
"IP Address","Adresa IP"
"If you have an account with us, please log in.","Daca esti deja inregistrat, te rugam sa te autentifici."
"If there is an account associated with %s you will receive an email with a link to reset your password.","Daca exista un cont asociat cu %s veti primi un email care va va indica cum sa resetati parola."
"Invalid attribute option specified for attribute %s (%s), skipping the record","Optiune atribut specificat invalida pentru atribut %s (%s), sari la inregistrare"
"Invalid attribute set specified, skipping the record","Atribute set specificat invalida, sari la inregistrari"
"Invalid current password","Parola actuala e gresita"
"Invalid customer data","Datele clientului sunt gresite"
"Invalid email address","Adresa de e-mail gresita"
"Invalid email address ""%s""","Adresa mail invalida ""%s"""
"Invalid login or password.","Utilizator sau parola invalida."
"Invalid option id specified for %s (%s), skipping the record","Optiune id invalida specificata pentru %s (%s), sari la inregistrari"
"Invalid store specified, skipping the record","Stoc specificat invalid, sari la inregistari"
"Items Order","Comanda articole"
"Last 5 Orders","Ultimele 5 comenzi"
"Last Activity","Ultima activitate"
"Last Name","Nume"
"Last Url","Ultimul Url"
"Last Viewed Items","Ultimele vizualizari"
"Last date subscribed","Ultima data la care s-a abonat"
"Last date unsubscribed","Ultima data la care s-a dezabonat"
"Last name can't be empty","Nume necompletat nu este acceptat"."
"Leave empty for default (15 minutes).","Lasa liber pentru actualizare (15 minute)."
"Leave empty for default (2). Interval valid: 1-4","Lasa liber pentru actualizare (2). Interval valid: 1-4"
"Lifetime Sales","Vanzari totale"
"Log In","Autentificare"
"Log Out","Log out"
"Log in or Create an Account","Login sau creeaza cont"
"Login","Autentificare"
"Login Information","Informatii autentificare"
"Login and password are required","Este necesar userul si parola"
"Login or Create an Account","Autentifica-te sau Creaza un cont"
"M.I.","M.I."
"MM","MM"
"Manage Addresses","Gestioneaza adresele"
"Manage Customers","Gestioneaza clientii"
"Missing email, skipping the record","Email lipsa, sari la inregistare"
"Missing firstname, skipping the record","Prenume lipsa, sari la inregistare"
"Missing lastname, skipping the record","Lipsa nume, sari la inregistare"
"Month","Luna"
"My Account","Contul meu"
"My Account Dashboard","Cont tabloului meu"
"My Dashboard","Detalii cont"
"My Orders","Istoric comenzi"
"My Reviews","Parerile mele"
"My Tags","Etichetele mele"
"My Wishlist","Lista mea de produse preferate"
"Name","Nume"
"Name and Address Options","Nume si optiuni adresa"
"Never","Niciodata"
"New Address","Adresa noua"
"New Address Entry","Intrare noua la Adresa"
"New Customer","Client nou"
"New Customer Address","Adresa noua client"
"New Customer Group","Grup clienti nou"
"New Customer Groups","Grupuri clienti noi"
"New Customers","Client nou"
"New Group","Grup nou"
"New Password","Parola noua"
"New account","Cont nou"
"New account confirmation key","Confirmare cheie cont nou"
"New account confirmed","Cont nou confirmat"
"New password","Parola noua"
"Newsletter","Newsletter"
"Newsletter Finish","Final newsletter"
"Newsletter Information","Informatii newsletter"
"Newsletter Received","Newsletter primit"
"Newsletter Start","Inceput newsletter"
"Newsletter Subscription","Abonare newsletter"
"Newsletters","Newsletter"
"No Items Found","Nici un articol gasit"
"No Newsletter Found","Nici un newsletter gasit"
"No item specified.","Niciun articol specificat."
"No product collections found","No product collections found"
"Not Sent","Netrimis"
"Not confirmed, can't login","Neconfirmat, nu se poate loga "
"Not confirmed, cannot login","Nu este confirmat, nu se poate loga"
"Number of lines in a street address ","Numarul liniilor in adresa strazii "
"Offline","Offline"
"Online","Online"
"Online Customers","Clienti online"
"Online Customers Options","Optiuni clienti online"
"Online Minutes Interval","Online Minutes Interval"
"Order #","Comanda #"
"Order #%s (%s)","Comanda #%s (%s)"
"Order List...","Lista comenzi..."
"Order Total","Total comanda"
"Orders","Comenzi"
"PDF","PDF"
"Password","Parola"
"Password Management","Gestionare parole"
"Password Options","Optiuni parole"
"Password can't be empty","Parola nu poate lipsi"
"Password fields can't be empty.","Parola campurilor nu poate lipsi."
"Password forgotten","Parola uitata"
"Password minimal length must be more %s","Lungimea minima a parolei trebuie sa fie mai mult de %s"
"Password must have at least 6 characters. Leading or trailing spaces will be ignored.","Parola trebuie sa aiba minim 6 caractere. Spatiile vor fi ignorate."
"Paused","In stand-by"
"Payment Method","Metoda de plata"
"Pending","in asteptare"
"Per Website","Pe Website"
"Personal Information","Informatii personale"
"Please enter your email below and we will send you a new password.","Va rugam sa introduceti adresa de mail cu care v-ati inregistrat pe acest site si va vom trimite o noua parola pentru cont."
"Please enter your email below and we will send you confirmation link for it.","Va rugam introduceti mailul dvs. mai jos si va vom trimite linkul de confirmare pentru acesta."
"Please enter your email address below. You will receive a link to reset your password.","Va rugam sa introduceti adresa de mail cu care v-ati inregistrat pe site si va vom trimite un mail cu instructiuni pentru a va reseta parola."
"Please enter your email.","Introdu adresa de e-mail."
"Please make sure your passwords match.","Parolele trebuie sa fie aceleasi."
"Please select","Alege"
"Please select region, state or province","Alege judetul"
"Please, check your e-mail for confirmation key.","Va rugam, verifica mailul tau pentru cheia de confirmare."
"Prefix","Prefix"
"Prefix dropdown options","Optiuni prefix dropdown"
"Price","Pret"
"Primary Billing Address","Adresa principala de facturare"
"Primary Shipping Address","Adresa principala de livrare"
"Problem saving the collection, aborting. Error: %s","Probleme la salvarea datelor, se anuleaza operatiunea. Eroare: %s"
"Product","Produs"
"Product ID","ID produs"
"Product Name","Nume produs"
"Product Reviews","Pareri produs"
"Product Tags","Etichete produs"
"Product name","Nume produs"
"Purchase On","Cumparat la"
"Purchased at","Cumparat la"
"Qty","Cant."
"Recent Orders","Comenzi recente"
"Records for ","Inregistrari pentru "
"Refunded","Stornat"
"Registered Customers","Clienti existenti"
"Remove","Sterge"
"Require Emails Confirmation","Confirmare mailuri ceruta"
"Retrieve address data","Retrimite data addresa"
"Retrieve address info","Retrimite informatie adresa"
"Retrieve customer addresses","Retrieve customer adresses"
"Retrieve customer data","Retrieve customer data"
"Retrieve customer's groups","Retrimite grupuri clienti"
"Retrieve customers","Retrimite clienti"
"Retrieve customers info","Retrimite informatii clienti"
"Retrieve your confirmation link here","Retrimite linkul tau de confirmare aici"
"Retrieve your password here","Afla parola aici"
"SKU","Cod produs"
"Sales Statistics","Statistici vanzari"
"Save","Salveaza"
"Save Address","Salveaza adresa"
"Save And Continue Edit","Salveaza si continua editare"
"Save Customer","Salveaza client"
"Save Customer Group","Salveaza grup clienti"
"Save Password","Salveaza parola"
"Saved ","Salvat "
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Semicolon (") separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field."
"Send Welcome Email after Confirmation","Send Welcome Email after Confirmation"
"Send auto-generated password","Trimite parola auto-generata"
"Send confirmation link","Trimite link confirmare"
"Send welcome email","Trimite email de bun-venit"
"Sending","Se trimite"
"Sent","Trimis"
"Session Start Time","Sesiune start timp"
"Set as Default Billing Address","Seteaza ca adresa standard de facturare"
"Set as Default Shipping Address","Seteaza ca adresa standard de livrare"
"Share Customer Accounts","Partajeaza conturi clienti"
"Ship to First name","Livrare catre Prenume"
"Ship to Last name","Livrare catre Nume"
"Shipped to First Name","Livrare catre Prenume"
"Shipped to Last Name","Livrare catre Nume"
"Shipped to Name","Livrat catre Nume"
"Shipping Information","Informatii livrare"
"Shipping Method","Metoda livrare"
"Shopping Cart","Cos de cumparaturi"
"Shopping Cart - %d item(s)","Cos - %d articol(e)"
"Show Tax/VAT number","Arata Tax/VAT numar"
"Show date of birth","Arata data nasterii"
"Show middle name (initial)","Arata numele mijlociu (initial)"
"Show prefix","Arata prefix"
"Show suffix","arata sufix"
"Sign Up for Newsletter","Abonare newsletter"
"Sign up for our newsletter","Abonati-va la newsletter"
"Skip import row, required field ""%s"" not defined","S-a sarit peste rand importat, campul cerut ""%s"" nu este definit"
"Skip import row, website ""%s"" field not exists","S-a sarit peste rand importat, camp ""%s"" site nu exista"
"State/Province","Judet"
"Status","Status"
"Store","Magazin"
"Store View","Vitrina magazinului"
"Street Address","Strada"
"Street Address ","Strada "
"Subject","Subiect"
"Submit","Trimite"
"Subscribe","Abonati-va"
"Subscribe to newsletter","Aboneaza-te la newsletter"
"Subscribed to Newsletter?","Abonat la Newsletter?"
"Suffix","Sufix"
"Suffix dropdown options","Optiuni sufix dropdown"
"TAX/VAT number is required.","TAX/VAT numar este cerut."
"Tag Name","Nume eticheta"
"Tax Class","Clasa de taxare"
"Tax class","Clasa de taxare"
"Tax/VAT number","Tax/VAT numar"
"Telephone","Telefon"
"Text","Text"
"Text One Line","Text One Line"
"Thank you for registering with %s.","Iti multumim pentru inregistrarea pe %s."
"The address does not belong to this customer","Aceasta adresa nu apartine clientului."
"The address was successfully deleted","Adresa a fost stearsa."
"The address was successfully saved","Adresa a fost salvata."
"The address has been saved.","Adresa a fost salvata."
"The suffix that goes after name (Jr., Sr., etc.)","Sufixul care merge dupa nume (Jr., Sr., etc.)"
"The title that goes before name (Mr., Mrs., etc.)","Titlul care merge inainte de nume (Mr., Mrs., etc.)"
"There are no items in customer's wishlist at the moment","Lista de produse preferate a clientului este goala momentan"
"There are no items in customer's shopping cart at the moment","Cosul clientului este gol momentan"
"There was an error while deleting the address","Eroare la stergerea adresei."
"This Email will be sent instead of Default Welcome Email, after Account Confirmation.","Acest mail va fi trimis inainte de mailul de primire standard, dupa confirmare cont."
"This account is not confirmed.","Acest cont nu este confirmat."
"This customer has no saved addresses.","Clientul nu are adrese salvate."
"This e-mail does not require confirmation.","Acest mail nu cere confirmare."
"This email address was not found in our records","Adresa nu a fost gasita in baza noastra de date."
"This is My Primary %s Address","Aceasta este adresa mea principala %s"
"To Cart","Spre cos"
"Total","Total"
"Type","Tip"
"Unknown","Necunoscut"
"Unsubscribe from newsletter","Dezaboneaza-te de la newsletter"
"Update","Actualizeaza"
"Update customer address data","Actualizeaza adresa clientului"
"Update customer data","Actualizeaza data client"
"Use as My Primary %s Address","Foloseste ca adresa principala pentru %s "
"Use as my default billing address","Foloseste ca adresa de facturare standard"
"Use as my default shipping address","Foloseste ca adresa de livrare standard"
"User description","Descriere utilizator"
"View","Vezi"
"View Order","Vezi comanda"
"View Order List","Vezi lista comenzilor"
"Visible In","Vizibil in"
"Visitor","Vizitator"
"Visitors Only","Doar vizitatori"
"Website","Site"
"Welcome Email","Mail primire"
"Wishlist","Produse preferate"
"Wishlist - %d item(s)","Produse preferate - %d articol(e)"
"Wrong confirmation key.","Cheie gresita confirmare."
"Wrong customer account specified.","Cont gresit specificat client."
"Wrong email.","Mail gresit."
"Wrong region id by selected country","Codul este gresit pentru tara selectata"
"Wrong transactional account email type.","Tip gresit cont mail tranzactional."
"XML","XML"
"YYYY","YYYY"
"Year","An"
"You are currently not subscribed to any newsletter.","Nu esti abonat la niciun newsletter."
"You are currently not subscribed to our newsletter","Nu esti abonat la newsletter."
"You are currently subscribed to 'General Subscription'.","Esti abonat la newsletter-ul principal."
"You are currently subscribed to our newsletter","Esti abonat la newsletter-ul nostru."
"You are currently subscribed to our newsletter.","Esti abonat la newsletter-ul nostru."
"You have logged out and will be redirected to our homepage in 5 seconds.","Ai parasit contul si vei fi redirectionat spre pagina principala in 5 secunde."
"You have no additional address entries in your address book.","Nu aveti alte adrese salvate in agenda."
"You have no additional entries in your address book.","Nu aveti alte intrari in agenda."
"You have no default billing address in your address book.","Nu aveti o adresa standard de facturare in agenda."
"You have no default shipping address in your address book.","Nu aveti o adresa standard de livrare in agenda."
"You have no primary entries in your address book.","Nu aveti intrari principale in agenda."
"You have not set a primary billing address.","Nu aveti setata o adresa principala de facturare."
"You have not set a primary shipping address.","Nu aveti setata o adresa principala de livrare."
"You have placed no orders yet.","Inca Nu ati facut nicio comanda."
"You have placed no products yet.","Nu aveti adaugat niciun produs inca."
"You are now logged out","Ai iesit din cont."
"Your account balance is: %s","Totalul contului: %s"
"ZIP","ZIP"
"ZIP/Post Code","Cod postal"
"ZIP/Postal Code","Cod postal"
"Zip/Postal Code","Cod postal"
"n/a","n/a"
"or","sau"
"Please enter your email below and we'll send you a new password.","Va rugam introduceti mailul dvs. mai jos si va vom trimite o noua parola."
"First name can't be empty","Prenumele nu poate fi necompletat"
"Last name can't be empty","Numele nu poate fi necompletat"
"Password can't be empty","Parola nu poate fi necompletata"
"My Account","Contul meu"
"Log In","Login"
"New Customers","Clienti noi"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Pentru a putea comanda de pe site-ul nostru trebuie sa va creati un cont. In urma inregistrarii veti putea cumpara mai repede, veti putea adauga adrese multiple in agenda, veti putea urmari starea comenzilor, veti putea vedea comenzile mai vechi si multe altele."
"Registered Customers","Clienti existenti"
"If you have an account with us, please log in.","Daca aveti un cont la noi, va rugam sa va autentificati."
"Email Address","Adresa e-mail"
"Password","Parola"
"* Required Fields","*Campuri obligatorii"
"Forgot Your Password?","Ai uitat parola?"
"Retrieve your password here","Afla noua parola aici"
"Please enter your email below and we'll send you a new password.","Va rugam introduceti adresa de mail mai jos si va vom trimite o noua parola."
"Back to Login","Inapoi la login"
"Submit","Trimite"
"My Dashboard","Detalii cont"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Din panoul de control al contului puteti vizualiza activitatea recenta si actualiza detaliile contului. Alegeti unul din link-urile de mai jos pentru a vizualiza/edita informatiile."
"Contact Information","Date de contact"
"Address Book","Date facturare si adresa livrare"
"Account Information","Informatii cont"
"Thank you for registering with %s","Iti multumim pentru ca te inregistrezi cu %s"
"Newsletter Subscription","Subscriere newsletter"
"You have not set a default billing address.","Nu ati setat adresa de facturare."
"You have not set a default shipping address.","Nu ati setat adresa de livrare."
"Login or Create an Account","Autentifica-te sau creaza un cont"
"Personal Information","Informatii personale"
"Sign Up for Newsletter","Abonare la Newsletter"
"You are currently not subscribed to any newsletter.","In mod curent nu sunteti abonat la niciun newsletter."
"Default Shipping Address","Adresa livrare"
"Login","Login"
"Invalid login or password.","Adresa de e-mail sau parola invalida."
"Edit Account Information","Editeaza informatii cont"
"Log Out","Log out"
"Your password reset link has expired.","Link-ul de resetare parola a expirat."
"Your password has been updated.","Parola a fost modificata."
"Reset a Password","Schimba parola"