" Copy"," Copiaza"
"Action","Actiune"
"Add New Template","Adauga template nou"
"Add to Queue","Adauga la Queue"
"Are you sure that you want to delete this template?","Esti sigur ca vrei sa stergi template-ul?"
"Are you sure that you want to strip all tags?","Esti sigur ca vrei sa inlocuiesti toate tagurile?"
"Back","Inapoi"
"Cancel","Anuleaza"
"Cancelled","Anulat"
"Cannot delete subscriber","Nu se poate sterge abonatul"
"Cannot delete template","Nu se poate sterge template"
"Cannot mark as received subscriber","Cannot mark ca subscriber primit"
"Cannot save your subscription: %s","Nu s-a putut salva abonarea ta: %s"
"Confirmation Email Sender","Expeditor email de confirmare"
"Confirmation Email Template","Template email de confirmare"
"Confirmation request has been sent.","Cererea de confirmare a fost trimisa."
"Convert to Plain Text","Schimba in Plain Text"
"Create Newsletter Template","Creaza template pt newsletter"
"Customer","Client"
"Customer Firstname","Prenume client"
"Customer Lastname","Nume client"
"Date Added","Adaugat la data"
"Date Updated","Actualizat la data"
"Delete Selected Problems","Sterge problemele selectate"
"Delete Template","Sterge Template"
"Do you really want to cancel the queue?","Sigur anulezi lista de queue?"
"Duplicate of template code","Cod template duplicat"
"Edit Newsletter","Modifica newsletter"
"Edit Newsletter Template","Modifica template newsletter"
"Edit Queue","Modifica queue"
"Edit Template","Modifica template"
"Email","Email"
"Enter your email address","Introduceti adresa de email..."
"Error Code","Cod eroare"
"Error Text","Text eroare"
"Form was filled incorrectly","Formular completat gresit"
"Guest","Musafir"
"ID","ID"
"Invalid queue selected","Queue selectat este nevalid "
"Invalid subscriber ID","ID abonat nevalid"
"Invalid subscription ID","ID abonare nevalid"
"Invalid subscription confirmation code","Cod de confirmare abonare nevalid"
"Message","Mesaj"
"Need to Confirm","Necesita confirmare"
"New Newsletter Template","Template nou de newsletter"
"New Template","Template nou"
"Newsletter","Newsletter"
"Newsletter Message Preview","Previzualizare mesaj newsletter"
"Newsletter Problem Reports","Rapoarte probleme newsletter"
"Newsletter Queue","Newsletter Queue"
"Newsletter Section","Newsletter Section"
"Newsletter Sign-up","Newsletter Sign-up"
"Newsletter Subscribers","Abonati"
"Newsletter Subscription","Newsletter Subscription"
"Newsletter Subscriptions","Newsletter Subscriptions"
"Newsletter Templates","Template-uri"
"Newsletter subscription confirmation","Confirmarea abonarii la newsletter"
"Newsletter subscription success","Abonare la newsletter reusita"
"Newsletter unsubscription success","Dezabonare de la newsletter reusita"
"No Templates Found","Nici un template"
"No problems found","Nicio problema"
"No subscribers selected","Nici un abonat selectat"
"Not Sent","Netrimis"
"Not activated","Neactivat"
"Pause","Pauza"
"Paused","In pauza"
"Please enter a valid email address","Va rugam introduceti o adresa valida de mail"
"Please enter new template name","Introdu numele noului template"
"Please select subscriber(s)","Alege abonat(i)"
"Preview","Previzualizeaza"
"Preview Template","Previualizeaza template"
"Processed","Procesat"
"Queue Date Start","Data de inceput Queue"
"Queue Finish","Final Queue"
"Queue Information","Informatii Queue"
"Queue Newsletter","Queue Newsletter"
"Queue Start","Porneste Queue"
"Queue Subject","Subiect Queue"
"Recipients","Destinatari"
"Reset","Reset"
"Resume","Rezumat"
"Return Html Version","Intoarce-te la versiune HTML"
"Save And Resume","Salveaza si continua"
"Save As","Salveaza ca"
"Save Newsletter","Salveaza newsletter"
"Save Template","Salveaza template"
"Selected problem subscribers successfully unsubscribed","Abonatii cu probleme selectati au fost dezabonati"
"Selected problems successfully deleted","Problemele selectate au fost sterse"
"Sender","Expeditor"
"Sender Email","E-mail expeditor"
"Sender Name","Nume expeditor"
"Sending","Se trimite"
"Sending Options","Optiuni trimitere"
"Sent","Trimis"
"Set Return-Path","Seteaza directie de intoarcere"
"Sign me up","Sign me up"
"Sign up for our newsletter:","Abonati-va la newsletter:"
"Start","Start"
"Status","Status"
"Store","Magazin"
"Store View","Vitrina"
"Subject","Subiect"
"Subscribe","Abonati-va"
"Subscribed","Abonat"
"Subscriber","Abonat"
"Subscribers","Abonati"
"Subscribers From","Abonati de la"
"Subscription Options","Optiuni abonare"
"Success Email Sender","Expeditor email succes"
"Success Email Template","Template email succes"
"Template Content","Continut template"
"Template Information","Informatii template"
"Template Name","Nume template"
"Template Subject","Subiect template"
"Template Type","Tip template"
"Thank you for your subscription.","Va multumim pentru abonarea la Newsletter."
"The subscription was successfully saved","Abonarea a fost salvata cu succes."
"There was a problem with the subscription","Eroare. Exista o problema cu abonarea."
"There was a problem with the subscription: %s","Exista o problema cu abonarea: %s"
"There was a problem with the un-subscription.","Exista o problema cu dezabonarea."
"There was an error while saving your subscription","Eroare. Exista o problema cu salvarea abonarii la newsletter."
"Toggle Editor","Schimba editor"
"Type","Tip"
"Unsubscribe","Dezaboneaza"
"Unsubscribe Selected","Dezaboneaza pe selectati"
"Unsubscribed","Dezabonat"
"Unsubscription Email Sender","Expeditor mail dezabonare"
"Unsubscription Email Template","Template mail dezabonare"
"View Newsletter","Vezi newsletter"
"Website","Site"
"You have been successfully unsubscribed.","Ai fost dezabonat cu succes."
"Your subscription was successfully confirmed","Abonarea ta a fost confirmata."
"Sign up for our newsletter:","Sign up for our newsletter:"
"Newsletter","Newsletter"
"Sign up for our newsletter","Abonati-va la Newsletter"
"Newsletter Subscriptions","Abonare newsletter"
"Sign Up for Our Newsletter:","Abonati-va la Newsletter:"
"Sign up for our newsletter","Abonati-va la newsletter"
"enter your e-mail address","adresa de e-mail"
"This email address is already assigned to another user.","Adresa de e-mail introdusa apartine unui utilizator deja inregistrat."
"The subscription has been saved.","Abonarea a fost salvata cu succes."