"%d Review(s)","%d Parere(i)"
"%s Review(s)","%s Parere(i)"
"(Posted on %s)","(Pus la data %s)"
"1 star","1 stea"
"2 stars","2 stele"
"3 stars","3 stele"
"4 stars","4 stele"
"5 stars","5 stele"
"Add New Review","Adauga parere"
"Add Your Review","Spune-ti parerea"
"Administrator","Administrator"
"All Reviews","Toate parerile"
"All reviews of customer `%s`","Toate recenzile clientilor `%s`"
"Allow guests to write reviews","Permite musafirilor sa scrie recenzii"
"Are you sure you want to do this?","Esti sigur ca vrei sa faci acest lucru?"
"Are you sure?","Esti sigur?"
"Average Customer Rating","Evaluare medie"
"Average Customer Rating:","Evaluare medie:"
"Back","Inapoi"
"Back to Main Product Info","Inapoi la Informatii produs"
"Back to My Reviews","Inapoi la Parerile mele"
"Back to Product Reviews","Inapoi la Pareri produs"
"Be the first to review this product","Fii primul care evalueaza acest produs."
"Created On","Creat la"
"Customer","Client"
"Customer Reviews","Pareri clienti"
"Delete","Sterge"
"Delete Review","Sterge parere"
"Detailed Rating","Evaluare detaliata"
"Edit Review '%s'","Modifica parere '%s'"
"Guest","Vizitator"
"How do you rate this product?","Cum evaluati acest produs?"
"ID","ID"
"Manage Ratings","Gestioneaza trafic"
"My Product Reviews","Parerile mele"
"My Recent Reviews","Parerile mele recente"
"Name","Nume"
"Name In Store","Nume in magazin"
"New Review","Parere noua"
"Nickname","Nume"
"Pending Reviews","Pareri in asteptare"
"Pending reviews","Recenzii in asteptare"
"Pending reviews of customer `%s`","Recenzii ale clientilor in asteptare `%s`"
"Please select a product","Alege un produs"
"Please select one of each of the ratings above","Alege dintre evaluarile de mai sus"
"Posted By","Pus de"
"Price","Pret"
"Product","Produs"
"Product Name","Nume produs"
"Product Rating","Evaluare produs"
"Product Rating:","Evaluare produs:"
"Product Review (submitted on %s):","Produs comentat (pe data %s):"
"Product Reviews","Pareri produs"
"Product SKU","Cod produs"
"Qty","Cantitate"
"Rating:","Evaluare:"
"Review","Evaluare"
"Review Details","Detalii parere"
"Review by %s","Parerea lui %s"
"Reviews and Ratings","Recenzii si trafic"
"SKU","Cod produs"
"Save Review","Salveaza evaluare"
"Status","Status"
"Submit Review","Trimite"
"Summary Rating","Rezumat Evaluare"
"Summary of Review","Rezumat evaluare"
"Summary of Your Review","Titlu <i style=""font-weight:normal;"">(Ex: Cel mai bun raport calitate/pret)</i>"
"Summary of review","Rezumatul evaluarii"
"Title","Titlu"
"Type","Tip"
"Unable to post review. Please, try again later.","Nu s-a putut adauga parerea. Incearca mai tarziu."
"Update status","Actualizeaza status"
"View All Reviews","Vezi toate parerile"
"View Details","Vezi detalii"
"Visible In","Vizibil In"
"Websites","Websites"
"Write Your Own Review","Folositi acest produs? Impartasiti experienta dumneavoastra pentru ca ceilalti sa aleaga mai informati."
"You have submitted no reviews.","Nu aveti adaugata nicio parere."
"You're reviewing: %s","Iti spui parerea despre: %s"
"Your Rating:","Evaluare ta:"
"Your Review (submitted on %s):","Parerea ta (din %s):"
"Your review has been accepted for moderation","Parerea ta a fost acceptata pentru moderare."
"OR","OR"
"My Product Reviews","Recomandari"
"You're reviewing:","Produs pentru evaluare:"
"Quality","Calitate"